"Espacio";"Asalariados";"Percepciones  por persona";"Salarios";"Salario  Medio Anual";"sexo";"edad";"nacionalidad";"erte"
"Extremadura";48958;1,82;707907175;14459;"Varón";"De 26 a 35 años";"Total";"Total"
"Galicia";100078;1,45;1755318344;17540;"Varón";"De 26 a 35 años";"Total";"Total"
"Madrid, Comunidad de";338421;1,49;7846172153;23185;"Varón";"De 26 a 35 años";"Total";"Total"
"Murcia, Región de";71679;1,62;1187419323;16566;"Varón";"De 26 a 35 años";"Total";"Total"
"Rioja, La";12150;1,53;214889292;17686;"Varón";"De 26 a 35 años";"Total";"Total"
"Ceuta";3888;1,44;72258727;18585;"Varón";"De 26 a 35 años";"Total";"Total"
"Melilla";4340;1,47;81335663;18741;"Varón";"De 26 a 35 años";"Total";"Total"
"Total";2659402;1,39;66660341533;25066;"Varón";"De 36 a 45 años";"Total";"Total"
"Andalucía";503273;1,55;10332788534;20531;"Varón";"De 36 a 45 años";"Total";"Total"
"Aragón";81867;1,36;2092047367;25554;"Varón";"De 36 a 45 años";"Total";"Total"
"Asturias, Principado de";53731;1,32;1377172659;25631;"Varón";"De 36 a 45 años";"Total";"Total"
"Balears,Illes";71979;1,33;1601706464;22252;"Varón";"De 36 a 45 años";"Total";"Total"
"Canarias";120686;1,3;2353623099;19502;"Varón";"De 36 a 45 años";"Total";"Total"
